#Thorlabs FTS
[SpectrumHeader]
#Date;20200127
#Time;14015291
#GMTTime;13015291
#XAxisUnit;nm_air
#YAxisUnit;intensity
#Average;1000
#RollingAverage;0
#SpectrumSmooth;0
#SSmoothParam1;0
#SSmoothParam2;0
#SSmoothParam3;0
#SSmoothParam4;0
#IntegrationTime;1.010000
#TriggerMode;0
#InterferometerSerial;M00439120
#Source;
#AirMeasureOpt;0
#WnrMin;13242.123047
#WnrMax;30038.648438
#Length;3648
#Resolution;0.0000000000e+00
#ADC;0
#Instrument;0
#InstrModel;CCS100
#Type;emission
#AirTemp;0.00
#AirPressure;0.00
#AirRelHum;0.00
#Name;absorbtion r6g
#Comment;""
[Data]
3.329044495e+02;7.863998180e-04
3.330110168e+02;3.217565536e-04
3.331175842e+02;8.330428391e-04
3.332241821e+02;3.532821429e-04
3.333307800e+02;7.757605636e-04
3.334373779e+02;3.342395066e-04
3.335439758e+02;8.184135077e-04
3.336506042e+02;3.237384954e-04
3.337572327e+02;7.596108480e-04
3.338638611e+02;3.119697794e-04
3.339704895e+02;7.705937023e-04
3.340771484e+02;3.346017911e-04
3.341838074e+02;7.559428923e-04
3.342904663e+02;3.376701206e-04
3.343971558e+02;7.870020927e-04
3.345038147e+02;3.667513083e-04
3.346105042e+02;8.295643493e-04
3.347172241e+02;3.638840280e-04
3.348239136e+02;8.253763663e-04
3.349306335e+02;3.336548107e-04
3.350373535e+02;8.065708680e-04
3.351440735e+02;3.837136319e-04
3.352508240e+02;8.241783944e-04
3.353575745e+02;3.836654359e-04
3.354643250e+02;8.575036773e-04
3.355710754e+02;3.723013797e-04
3.356778564e+02;8.060493274e-04
3.357846375e+02;3.950481769e-04
3.358914185e+02;8.053315687e-04
3.359982300e+02;3.913599649e-04
3.361050110e+02;7.981233648e-04
3.362118225e+02;3.630197025e-04
3.363186646e+02;7.827513036e-04
3.364254761e+02;3.923129698e-04
3.365323181e+02;7.900409983e-04
3.366391602e+02;3.591747954e-04
3.367460022e+02;8.146702312e-04
3.368528748e+02;3.901964228e-04
3.369597168e+02;8.375691250e-04
3.370666199e+02;4.097186611e-04
3.371734924e+02;8.117800462e-04
3.372803955e+02;3.694174520e-04
3.373872681e+02;8.090120391e-04
3.374942017e+02;4.114496696e-04
3.376011047e+02;8.030709578e-04
3.377080383e+02;3.528306552e-04
3.378149414e+02;8.187036146e-04
3.379219055e+02;3.532828414e-04
3.380288391e+02;7.862386992e-04
3.381358032e+02;4.042305518e-04
3.382427673e+02;8.433489711e-04
3.383497314e+02;4.462299694e-04
3.384567261e+02;8.556084358e-04
3.385636902e+02;3.923783079e-04
3.386706848e+02;8.000318194e-04
3.387777100e+02;3.936594876e-04
3.388847046e+02;8.372161537e-04
3.389917297e+02;3.486693022e-04
3.390987549e+02;8.646179340e-04
3.392057800e+02;4.278085835e-04
3.393128357e+02;8.340487839e-04
3.394198914e+02;4.118628567e-04
3.395269470e+02;8.768270491e-04
3.396340027e+02;3.654689644e-04
3.397410889e+02;8.782519144e-04
3.398481750e+02;4.222729476e-04
3.399552612e+02;8.349835989e-04
3.400623474e+02;3.786498273e-04
3.401694641e+02;8.473842754e-04
3.402765808e+02;3.955357242e-04
3.403836975e+02;8.468948654e-04
3.404908447e+02;4.327850475e-04
3.405979614e+02;8.264381904e-04
3.407051086e+02;4.078635247e-04
3.408122559e+02;8.519529947e-04
3.409194336e+02;3.744491842e-04
3.410266113e+02;8.286141092e-04
3.411337891e+02;4.256700922e-04
3.412409668e+02;8.464329876e-04
3.413481750e+02;4.262948933e-04
3.414553528e+02;9.098499431e-04
3.415625610e+02;4.232536885e-04
3.416697998e+02;8.676557336e-04
3.417770081e+02;3.885354381e-04
3.418842468e+02;8.451009053e-04
3.419914856e+02;4.043648369e-04
3.420987549e+02;8.420522208e-04
3.422059937e+02;4.055382742e-04
3.423132629e+02;8.758761687e-04
3.424205322e+02;3.985413641e-04
3.425278320e+02;8.445287240e-04
3.426351013e+02;4.359434533e-04
3.427424011e+02;9.001798462e-04
3.428497009e+02;3.921794705e-04
3.429570313e+02;8.225505590e-04
3.430643311e+02;4.147290601e-04
3.431716614e+02;8.473822963e-04
3.432790222e+02;3.911506501e-04
3.433863525e+02;8.592988597e-04
3.434937134e+02;3.818198165e-04
3.436010742e+02;8.170798537e-04
3.437084351e+02;3.777458915e-04
3.438157959e+02;8.566158940e-04
3.439231873e+02;4.386211804e-04
3.440305786e+02;8.598830900e-04
3.441379700e+02;4.130417074e-04
3.442453918e+02;8.423124673e-04
3.443528137e+02;3.651178849e-04
3.444602356e+02;8.858341025e-04
3.445676575e+02;3.876724513e-04
3.446751099e+02;8.567359764e-04
3.447825317e+02;3.827378096e-04
3.448899841e+02;8.350360440e-04
3.449974670e+02;3.546562220e-04
3.451049194e+02;8.650143282e-04
3.452124023e+02;4.039172200e-04
3.453198853e+02;8.315296727e-04
3.454273987e+02;3.897540446e-04
3.455348816e+02;8.524577715e-04
3.456423950e+02;4.124260740e-04
3.457499084e+02;8.638487197e-04
3.458574524e+02;3.973804705e-04
3.459649658e+02;8.537668618e-04
3.460725098e+02;4.408007371e-04
3.461800537e+02;8.420203230e-04
3.462876282e+02;3.483985492e-04
3.463951721e+02;8.504742873e-04
3.465027466e+02;4.146593565e-04
3.466103210e+02;8.447645232e-04
3.467179260e+02;3.953496926e-04
3.468255005e+02;8.719269536e-04
3.469331055e+02;3.646242840e-04
3.470407410e+02;8.381074877e-04
3.471483459e+02;4.361781757e-04
3.472559814e+02;8.611278608e-04
