#Thorlabs FTS
[SpectrumHeader]
#Date;20200127
#Time;14054888
#GMTTime;13054888
#XAxisUnit;nm_air
#YAxisUnit;intensity
#Average;1000
#RollingAverage;0
#SpectrumSmooth;0
#SSmoothParam1;0
#SSmoothParam2;0
#SSmoothParam3;0
#SSmoothParam4;0
#IntegrationTime;1.010000
#TriggerMode;0
#InterferometerSerial;M00439120
#Source;
#AirMeasureOpt;0
#WnrMin;13242.123047
#WnrMax;30038.648438
#Length;3648
#Resolution;0.0000000000e+00
#ADC;0
#Instrument;0
#InstrModel;CCS100
#Type;emission
#AirTemp;0.00
#AirPressure;0.00
#AirRelHum;0.00
#Name;absorbtion ethgl
#Comment;""
[Data]
3.329044495e+02;7.914595772e-04
3.330110168e+02;3.490669187e-04
3.331175842e+02;8.539007395e-04
3.332241821e+02;3.553207207e-04
3.333307800e+02;8.152815280e-04
3.334373779e+02;3.082501935e-04
3.335439758e+02;7.913478184e-04
3.336506042e+02;2.728570835e-04
3.337572327e+02;8.166820044e-04
3.338638611e+02;3.390182974e-04
3.339704895e+02;8.557834080e-04
3.340771484e+02;3.793793439e-04
3.341838074e+02;8.053714409e-04
3.342904663e+02;3.611360444e-04
3.343971558e+02;8.190892986e-04
3.345038147e+02;3.596965107e-04
3.346105042e+02;7.833822165e-04
3.347172241e+02;3.912002721e-04
3.348239136e+02;7.961457013e-04
3.349306335e+02;3.673581814e-04
3.350373535e+02;8.566477336e-04
3.351440735e+02;4.110209702e-04
3.352508240e+02;8.452813490e-04
3.353575745e+02;3.712274192e-04
3.354643250e+02;8.420672384e-04
3.355710754e+02;3.683906107e-04
3.356778564e+02;8.490781765e-04
3.357846375e+02;3.913821129e-04
3.358914185e+02;8.278844762e-04
3.359982300e+02;3.929497616e-04
3.361050110e+02;8.498243988e-04
3.362118225e+02;4.373928823e-04
3.363186646e+02;8.264755597e-04
3.364254761e+02;3.740420798e-04
3.365323181e+02;8.422742831e-04
3.366391602e+02;3.449197684e-04
3.367460022e+02;8.727175300e-04
3.368528748e+02;4.158948723e-04
3.369597168e+02;8.308563265e-04
3.370666199e+02;3.846256004e-04
3.371734924e+02;8.327446412e-04
3.372803955e+02;4.145311250e-04
3.373872681e+02;8.987370529e-04
3.374942017e+02;4.138647637e-04
3.376011047e+02;8.410899900e-04
3.377080383e+02;3.717763466e-04
3.378149414e+02;8.951432537e-04
3.379219055e+02;4.042886721e-04
3.380288391e+02;8.632887620e-04
3.381358032e+02;3.803181171e-04
3.382427673e+02;8.757490432e-04
3.383497314e+02;3.746407165e-04
3.384567261e+02;7.995258784e-04
3.385636902e+02;4.532476014e-04
3.386706848e+02;8.094801451e-04
3.387777100e+02;4.288163036e-04
3.388847046e+02;8.150145295e-04
3.389917297e+02;4.373471602e-04
3.390987549e+02;8.404217078e-04
3.392057800e+02;4.682883737e-04
3.393128357e+02;8.134603850e-04
3.394198914e+02;4.297740234e-04
3.395269470e+02;8.825670229e-04
3.396340027e+02;3.676919441e-04
3.397410889e+02;8.835016051e-04
3.398481750e+02;4.491367145e-04
3.399552612e+02;8.620850858e-04
3.400623474e+02;3.570442495e-04
3.401694641e+02;8.442285471e-04
3.402765808e+02;4.047884140e-04
3.403836975e+02;8.838126087e-04
3.404908447e+02;4.380235041e-04
3.405979614e+02;8.918263484e-04
3.407051086e+02;4.263730079e-04
3.408122559e+02;8.201953024e-04
3.409194336e+02;4.277593689e-04
3.410266113e+02;8.232149994e-04
3.411337891e+02;4.143583938e-04
3.412409668e+02;8.443935658e-04
3.413481750e+02;4.322816967e-04
3.414553528e+02;8.650629316e-04
3.415625610e+02;4.009974073e-04
3.416697998e+02;9.255862096e-04
3.417770081e+02;4.359414743e-04
3.418842468e+02;8.206579369e-04
3.419914856e+02;4.007870739e-04
3.420987549e+02;8.689720416e-04
3.422059937e+02;4.315773840e-04
3.423132629e+02;8.708726382e-04
3.424205322e+02;4.188254243e-04
3.425278320e+02;8.686321671e-04
3.426351013e+02;4.688080808e-04
3.427424011e+02;8.618607535e-04
3.428497009e+02;4.070494033e-04
3.429570313e+02;8.678188897e-04
3.430643311e+02;4.207766324e-04
3.431716614e+02;8.995307144e-04
3.432790222e+02;4.393084964e-04
3.433863525e+02;8.542144787e-04
3.434937134e+02;4.030595301e-04
3.436010742e+02;8.785378304e-04
3.437084351e+02;3.598126932e-04
3.438157959e+02;8.990378701e-04
3.439231873e+02;4.366962530e-04
3.440305786e+02;8.820795338e-04
3.441379700e+02;3.893128596e-04
3.442453918e+02;8.603039314e-04
3.443528137e+02;3.868110653e-04
3.444602356e+02;8.506697486e-04
3.445676575e+02;3.910824889e-04
3.446751099e+02;9.116184083e-04
3.447825317e+02;4.119239165e-04
3.448899841e+02;8.645399939e-04
3.449974670e+02;3.876279516e-04
3.451049194e+02;8.363490342e-04
3.452124023e+02;3.696548520e-04
3.453198853e+02;8.802002994e-04
3.454273987e+02;3.657127963e-04
3.455348816e+02;8.323577349e-04
3.456423950e+02;3.955541470e-04
3.457499084e+02;8.906625444e-04
3.458574524e+02;4.063182278e-04
3.459649658e+02;8.772704168e-04
3.460725098e+02;4.133559414e-04
3.461800537e+02;8.024951094e-04
3.462876282e+02;3.877090057e-04
3.463951721e+02;8.587975171e-04
3.465027466e+02;3.821345745e-04
3.466103210e+02;8.163417806e-04
3.467179260e+02;4.259486741e-04
3.468255005e+02;8.985555032e-04
3.469331055e+02;3.937431320e-04
3.470407410e+02;8.479303215e-04
3.471483459e+02;4.611414042e-04
3.472559814e+02;8.918601670e-04
3.473636169e+02;3.609118285e-04
3.474712524e+02;8.571141516e-04
3.475788879e+02;4.496673646e-04
3.476865540e+02;8.575731772e-04
3.477942200e+02;3.886624181e-04
3.479018860e+02;8.753826260e-04
3.480095825e+02;4.150369205e-04
3.481172485e+02;8.838219801e-04
3.482249451e+02;3.641104558e-04
3.483326721e+02;8.459152887e-04
3.484403687e+02;3.776784288e-04
3.485480957e+02;8.450325695e-04
3.486558228e+02;4.339008883e-04
3.487635498e+02;8.614383987e-04
3.488713074e+02;3.988770768e-04
3.489790344e+02;8.598502609e-04
3.490868225e+02;3.603351070e-04
3.491945801e+02;8.736697491e-04
3.493023376e+02;4.126984568e-04
3.494101257e+02;8.461532998e-04
3.495179138e+02;4.583755217e-04
3.496257019e+02;8.298809989e-04
3.497335205e+02;4.406962544e-04
3.498413391e+02;8.713549469e-04
3.499491577e+02;4.202549171e-04
3.500569763e+02;8.901365218e-04
3.501648254e+02;3.715411003e-04
3.502726440e+02;8.618730353e-04
3.503805237e+02;4.166191502e-04
3.504883728e+02;8.046621224e-04
3.505962219e+02;4.177482042e-04
3.507041016e+02;8.474816568e-04
3.508119812e+02;4.489420098e-04
3.509198914e+02;8.361030486e-04
3.510277710e+02;3.771244956e-04
3.511356812e+02;8.387941634e-04
3.512435913e+02;3.553252900e-04
3.513515015e+02;8.452655165e-04
3.514594421e+02;3.943034390e-04
3.515673828e+02;8.387234993e-04
3.516753235e+02;4.235653323e-04
3.517832642e+02;8.163837483e-04
3.518912354e+02;4.137234064e-04
3.519992065e+02;8.958038525e-04
3.521071777e+02;4.386973742e-04
3.522151489e+02;8.561962168e-04
3.523231506e+02;3.800895065e-04
3.524311523e+02;8.723674109e-04
3.525391541e+02;3.697402135e-04
3.526471558e+02;8.414317272e-04
3.527551880e+02;4.397831799e-04
3.528632202e+02;8.601210429e-04
3.529712524e+02;4.089666763e-04
3.530792847e+02;8.646349306e-04
3.531873474e+02;4.225230077e-04
3.532953796e+02;8.842438692e-04
3.534034729e+02;4.053757293e-04
3.535115356e+02;8.889714372e-04
3.536196289e+02;4.253312945e-04
3.537276917e+02;8.368010167e-04
3.538358154e+02;3.988001263e-04
3.539439087e+02;8.324926603e-04
3.540520020e+02;3.999626206e-04
3.541601257e+02;8.291403647e-04
3.542682495e+02;3.871678491e-04
3.543764038e+02;8.970354684e-04
3.544845276e+02;4.491580767e-04
3.545926819e+02;8.542361902e-04
3.547008362e+02;3.716199135e-04
3.548090210e+02;8.691663970e-04
3.549171753e+02;3.907729988e-04
3.550253601e+02;8.576478576e-04
3.551335449e+02;4.117923672e-04
3.552417603e+02;8.534365334e-04
3.553499451e+02;4.340115702e-04
3.554581604e+02;8.547535981e-04
3.555663757e+02;3.849825880e-04
3.556746216e+02;8.483697893e-04
3.557828369e+02;4.503038363e-04
3.558910828e+02;9.062222089e-04
3.559993286e+02;4.494817695e-04
3.561075745e+02;8.159725694e-04
3.562158508e+02;4.826392687e-04
3.563241272e+02;8.668238879e-04
3.564324036e+02;3.918919247e-04
3.565406799e+02;9.061777964e-04
3.566489868e+02;4.448015243e-04
3.567572937e+02;8.993743686e-04
3.568656006e+02;4.250003549e-04
3.569739075e+02;8.347562980e-04
3.570822449e+02;4.939786741e-04
3.571905518e+02;8.824621909e-04
3.572989197e+02;4.650074115e-04
3.574072571e+02;8.840119117e-04
3.575155945e+02;3.911266685e-04
3.576239624e+02;9.164384683e-04
3.577323303e+02;4.021176719e-04
3.578407288e+02;8.485774160e-04
3.579490967e+02;4.646181478e-04
3.580574951e+02;8.964745793e-04
3.581658936e+02;4.582798865e-04
3.582742920e+02;9.171632701e-04
3.583827209e+02;4.001238558e-04
3.584911499e+02;9.099123417e-04
3.585995789e+02;4.524853430e-04
3.587080078e+02;8.817379712e-04
3.588164368e+02;4.448121763e-04
3.589248962e+02;9.891834343e-04
3.590333557e+02;4.769329680e-04
3.591418457e+02;9.606539388e-04
3.592503052e+02;5.105494638e-04
3.593587952e+02;9.757800726e-04
3.594672852e+02;4.856557644e-04
3.595757751e+02;8.950486663e-04
3.596842957e+02;5.496175145e-04
3.597927856e+02;9.134887368e-04
3.599013062e+02;5.088270409e-04
3.600098267e+02;1.015553833e-03
3.601183777e+02;5.204196204e-04
3.602269287e+02;9.955397109e-04
3.603354797e+02;5.170818185e-04
3.604440308e+02;9.941357421e-04
3.605525818e+02;5.619009025e-04
3.606611633e+02;9.907330386e-04
3.607697449e+02;5.307756946e-04
3.608783264e+02;1.027450315e-03
